number_of_jobs,mean_energy_qpu_kwh,mean_energy_cpu_kwh,mean_energy_total_kwh,std_energy_qpu_kwh,std_energy_cpu_kwh,std_energy_total_kwh,mean_cost_per_job,std_cost_per_job,median_cost_per_job,p95_cost_per_job,mean_phi_qpu,mean_phi_cpu,std_phi_qpu,std_phi_cpu,mean_qpu_time_s,mean_cpu_time_s,std_qpu_time_s,std_cpu_time_s,p95_qpu_time_s,p95_cpu_time_s,mean_qpu_wait_s,mean_cpu_wait_s,mean_wait_total_s,std_qpu_wait_s,std_cpu_wait_s,std_wait_total_s,p95_wait_total_s,mean_job_turnaround_s,std_job_turnaround_s,median_job_turnaround_s,p95_job_turnaround_s,mean_turn_total_s,std_turn_total_s,p95_turn_total_s,mean_wait_fraction,std_wait_fraction,p95_wait_fraction,iterations,workload_csv
3000,0.052713833333333335,0.0007053333333333334,0.05342513333333333,0.022370721528360574,0.0012134670946034965,0.022389159723847064,0.009616199999999998,0.004030988362969327,0.0096,0.0162,0.9841835535802835,0.01567285240356986,0.02971835570179221,0.02967911123757725,2.9119913333333334,0.47019063333333333,1.2216776304311165,0.798701273579222,4.9091,2.3648549999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3821458666666664,1.4535627247196732,3.33695,5.774839999999999,3.382181966666667,1.4534099044803612,5.770654999999997,0.0,0.0,0.0,3,synth_job_batches/iter-job-batches/3000-job_iter_3.csv
3000,0.10556036666666667,0.0014406333333333331,0.10700403333333335,0.044799429856908414,0.002399328626548466,0.04487529637198749,0.019260833333333335,0.008077763266648729,0.0191,0.0324,0.9840567764080559,0.01590623151902578,0.029283373378015586,0.02932603399508798,5.844980233333333,0.9300093,2.4575930641304784,1.5387121352206206,9.8183,4.671154999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.775453433333333,2.904235949016092,6.70745,11.588354999999995,6.774989533333334,2.903177539628947,11.591764999999997,0.0,0.0,0.0,6,synth_job_batches/iter-job-batches/3000-job_iter_6.csv
3000,0.16500316666666667,0.002232033333333333,0.16724003333333334,0.07169055673713692,0.0037131163384956432,0.07214315915226968,0.030102666666666663,0.012986050158604661,0.0296,0.0504,0.985090375382604,0.014868826153131526,0.026859302274604306,0.02686771536295622,9.134298566666667,1.4198275333333332,3.9463041423551313,2.35251262121437,15.3529,7.39055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.561923333333333,4.801832378147412,10.28255,18.91991499999999,10.5541261,4.789135046273589,18.769544999999987,0.0,0.0,0.0,9,synth_job_batches/iter-job-batches/3000-job_iter_9.csv
3000,0.3020426333333333,0.002960166666666667,0.30500563333333336,0.2021741216811837,0.0048604586194671735,0.20425080898066303,0.054901233333333334,0.03676571874047512,0.0479,0.12621499999999994,0.9905825595306418,0.009398030902109429,0.017067022713821163,0.01707495087275937,16.716621433333334,1.8713913333333336,11.18003252867859,3.0665822394138695,38.068129999999954,9.57434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.76281,13.061893208289586,15.88565,45.21730999999999,18.588012766666665,12.769898241577355,44.04753999999999,0.0,0.0,0.0,12,synth_job_batches/iter-job-batches/3000-job_iter_12.csv
3000,2.1234065,0.0037108666666666665,2.1271212,2.256372213416094,0.006087309232612827,2.260441214903093,0.38288053333333333,0.4068798910935605,0.1987,1.223659999999999,0.9987542534029444,0.0012335183020711687,0.0020248885657830782,0.0020298323049369234,117.74059613333333,2.3372398333333333,124.77427890873268,3.826981008007294,376.4207549999997,11.96655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123.55996653333334,130.85200057188948,63.365,392.06000999999986,120.07783596666665,127.37009426469497,383.5535499999999,0.0,0.0,0.0,15,synth_job_batches/iter-job-batches/3000-job_iter_15.csv
3000,8.4274486,0.004456966666666666,8.431909266666667,9.040963379509654,0.0073007085213601134,9.045856995540854,1.5177428666666668,1.6282543908665628,0.9279999999999999,4.8748099999999965,0.9995746284203664,0.0004189150955574679,0.0007530170958531977,0.000755611540094618,469.6495974,2.807283033333333,504.47855189068224,4.588206199379536,1510.4458299999992,14.46266999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486.9433443333333,521.3310234358349,292.4009,1560.2014599999989,472.45688043333337,507.56024070963167,1520.4335399999998,0.0,0.0,0.0,18,synth_job_batches/iter-job-batches/3000-job_iter_18.csv
3000,15.059577533333334,0.0051675,15.064746333333334,14.777770201914613,0.008461197967211663,14.78358064998186,2.7116538,2.6610446937095085,1.88595,7.747074999999999,0.9997280654806479,0.00026682971889940046,0.0005629935243124014,0.0005643256423140847,839.6531377666668,3.2552933,828.622815139466,5.31767899240391,2429.862605,16.646914999999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,871.2272282999999,857.5818423305524,596.2772,2497.714579999997,842.9084310666667,832.3016402682784,2436.47768,0.0,0.0,0.0,21,synth_job_batches/iter-job-batches/3000-job_iter_21.csv
