job_id,energy_qpu_kwh,energy_cpu_kwh,energy_total_kwh,cost_energy_total,phi_qpu,phi_cpu,qpu_time_s,cpu_time_s,qpu_phase_s,qpu_idle_s,qpu_wait_s,cpu_wait_s,wait_total_s,qpu_turn_s,cpu_turn_s,turn_total_s,job_turnaround_s
28,0.2132,0.0178,0.231,0.0416,0.922943722943723,0.07705627705627706,11.3724,11.4454,62.3726,51.0002,0.0,0.0,0.0,62.37259999999999,11.4454,73.81799999999998,75.3153
29,0.166,0.0,0.166,0.0299,1.0,0.0,9.4344,0.0154,10.4348,1.0004,0.0,0.0,0.0,10.434800000000001,0.0154,10.4502,10.4485
30,0.0884,0.0108,0.0992,0.0179,0.8911290322580646,0.1088709677419355,4.7148,7.0849,56.7148,52.0,0.0,0.0,0.0,56.71479999999998,7.084899999999999,63.79969999999998,64.3036
31,0.3322,0.0033,0.3355,0.0604,0.9901639344262294,0.009836065573770491,18.1656,2.0387,45.1658,27.0002,0.0,0.0,0.0,45.16580000000001,2.0387,47.20450000000001,48.701
32,0.1894,0.0009,0.1903,0.0343,0.9952706253284289,0.004729374671571203,10.9092,0.5829,20.9092,10.0,0.0,0.0,0.0,20.909199999999995,0.5829,21.492099999999994,21.4887
33,0.2601,0.0001,0.2602,0.0468,0.9996156802459647,0.0003843197540353575,13.3776,0.0801,14.3772,0.9996,0.0,0.0,0.0,14.377200000000002,0.08009999999999999,14.457300000000002,14.4553
34,0.328,0.002,0.33,0.0594,0.9939393939393939,0.006060606060606061,18.1656,1.2613,51.1656,33.0,0.0,0.0,0.0,51.16560000000001,1.2613000000000003,52.42690000000001,52.4294
35,0.0969,0.0065,0.1034,0.0186,0.937137330754352,0.06286266924564796,5.436,4.1345,64.436,59.0,0.0,0.0,0.0,64.436,4.1345,68.57050000000001,70.5755
36,0.2077,0.0,0.2077,0.0374,1.0,0.0,12.4608,0.0132,12.4602,0.0,0.0,0.0,0.0,12.460199999999997,0.0132,12.473399999999996,12.4745
37,0.1258,0.0001,0.1258,0.0226,1.0,0.000794912559618442,6.546,0.0383,12.5452,5.9992,0.0,0.0,0.0,12.5452,0.03830000000000001,12.583499999999999,12.5817
38,0.1168,0.0017,0.1185,0.0213,0.9856540084388187,0.014345991561181435,6.2304,1.0234,18.2304,12.0,0.0,0.0,0.0,18.2304,1.0234,19.2538,20.2565
39,0.1899,0.0,0.1899,0.0342,1.0,0.0,10.3836,0.01,10.3837,0.0001,0.0,0.0,0.0,10.383699999999997,0.009999999999999998,10.393699999999997,10.3982
40,0.3178,0.0007,0.3185,0.0573,0.9978021978021979,0.002197802197802198,17.5992,0.4532,23.599,5.9998,0.0,0.0,0.0,23.599,0.4532,24.0522,24.5551
41,0.114,0.0155,0.1294,0.0233,0.8809891808346214,0.1197836166924266,6.3936,9.5039,65.3933,58.9997,0.0,0.0,0.0,65.39330000000001,9.503899999999998,74.89720000000001,76.8975
42,0.1149,0.0004,0.1153,0.0208,0.9965307892454467,0.0034692107545533394,6.0552,0.2347,7.0553,1.0001,0.0,0.0,0.0,7.055299999999999,0.2347,7.289999999999999,7.287
43,0.1988,0.0002,0.199,0.0358,0.9989949748743718,0.0010050251256281408,10.872,0.1016,10.8717,0.0,0.0,0.0,0.0,10.871700000000002,0.10160000000000001,10.973300000000002,10.9711
44,0.143,0.0001,0.1431,0.0258,0.9993011879804331,0.0006988120195667365,7.8216,0.0595,7.8216,0.0,0.0,0.0,0.0,7.821599999999999,0.059500000000000004,7.881099999999999,8.3838
45,0.0884,0.0001,0.0885,0.0159,0.9988700564971753,0.0011299435028248588,4.7148,0.0528,4.7148,0.0,0.0,0.0,0.0,4.7148,0.0528,4.767600000000001,4.7713
46,0.3405,0.0104,0.3509,0.0632,0.9703619264747793,0.02963807352522086,18.8592,6.7242,64.8594,46.0002,0.0,0.0,0.0,64.85940000000001,6.724199999999999,71.5836,72.5798
47,0.1184,0.0069,0.1253,0.0226,0.9449321628092578,0.05506783719074222,6.3936,4.4221,47.393,40.9994,0.0,0.0,0.0,47.393,4.4221,51.8151,52.8153
48,0.1559,0.0001,0.1559,0.0281,1.0,0.0006414368184733803,9.0984,0.0452,9.098,0.0,0.0,0.0,0.0,9.098,0.045200000000000004,9.1432,9.1423
49,0.3151,0.0079,0.323,0.0581,0.9755417956656346,0.024458204334365328,17.454,5.0495,56.4545,39.0005,0.0,0.0,0.0,56.454499999999996,5.0495,61.504,66.0067
50,0.1716,0.0003,0.172,0.031,0.9976744186046512,0.0017441860465116279,9.2688,0.1879,10.2681,0.9993,0.0,0.0,0.0,10.268099999999997,0.1879,10.455999999999998,10.46
51,0.1631,0.0,0.1631,0.0294,1.0,0.0,9.2688,0.0225,11.2684,1.9996,0.0,0.0,0.0,11.268399999999998,0.0225,11.290899999999999,11.2885
52,0.3066,0.0,0.3066,0.0552,1.0,0.0,16.9824,0.0117,18.9827,2.0003,0.0,0.0,0.0,18.982699999999998,0.011699999999999999,18.9944,18.9957
53,0.339,0.0048,0.3438,0.0619,0.9860383944153579,0.013961605584642232,18.5364,3.0949,64.5364,46.0,0.0,0.0,0.0,64.5364,3.0949000000000004,67.6313,67.6353
54,0.3791,0.0,0.3791,0.0682,1.0,0.0,20.4708,0.0125,22.4705,1.9997,0.0,0.0,0.0,22.4705,0.012499999999999997,22.483,22.4871
55,0.3151,0.0021,0.3172,0.0571,0.9933795712484237,0.006620428751576293,17.454,1.309,35.4544,18.0004,0.0,0.0,0.0,35.4544,1.309,36.7634,36.7637
56,0.1022,0.0027,0.1049,0.0189,0.9742612011439467,0.025738798856053388,5.6604,1.6375,45.6605,40.0001,0.0,0.0,0.0,45.6605,1.6375,47.298,47.2934
57,0.22,0.0002,0.2201,0.0396,0.9995456610631531,0.0009086778736937756,11.7324,0.1095,11.7327,0.0003,0.0,0.0,0.0,11.732700000000001,0.10949999999999999,11.842200000000002,11.8409
58,0.166,0.0024,0.1684,0.0303,0.985748218527316,0.014251781472684084,9.4344,1.5433,17.4348,8.0004,0.0,0.0,0.0,17.434800000000003,1.5433000000000001,18.9781,19.4769
59,0.3218,0.0222,0.344,0.0619,0.9354651162790698,0.06453488372093025,18.5364,14.5037,50.5364,32.0,0.0,0.0,0.0,50.536399999999986,14.503700000000004,65.0401,65.5374
60,0.3038,0.0005,0.3043,0.0548,0.9983568846533026,0.001643115346697338,16.614,0.3109,23.6138,6.9998,0.0,0.0,0.0,23.613799999999998,0.3109,23.924699999999998,23.9264
61,0.3762,0.0001,0.3763,0.0677,0.9997342545841083,0.00026574541589157585,20.0652,0.0437,21.0656,1.0004,0.0,0.0,0.0,21.0656,0.0437,21.1093,21.1073
62,0.2682,0.0168,0.285,0.0513,0.9410526315789475,0.05894736842105263,14.1288,10.322,48.1291,34.0003,0.0,0.0,0.0,48.129099999999994,10.322,58.4511,59.4544
63,0.3669,0.0,0.367,0.0661,0.9997275204359674,0.0,20.0652,0.0169,21.0656,1.0004,0.0,0.0,0.0,21.0656,0.0169,21.0825,21.0848
