job_id,energy_qpu_kwh,energy_cpu_kwh,energy_total_kwh,cost_energy_total,phi_qpu,phi_cpu,qpu_time_s,cpu_time_s,qpu_phase_s,qpu_idle_s,qpu_wait_s,cpu_wait_s,wait_total_s,qpu_turn_s,cpu_turn_s,turn_total_s,job_turnaround_s
0,0.3486,0.0002,0.3487,0.0628,0.9997132205334098,0.0005735589331803843,19.8135,0.0964,19.8133,0.0,0.0,0.0,0.0,19.8133,0.09639999999999999,19.9097,19.9129
1,0.2727,0.0139,0.2866,0.0516,0.951500348918353,0.04849965108164689,15.2733,8.7555,226.273,210.9997,0.0,0.0,0.0,226.27300000000005,8.755500000000001,235.02850000000007,238.0313
2,0.2194,0.0166,0.2359,0.0425,0.9300551080966512,0.07036880033912675,12.3774,10.1517,132.3763,119.9989,0.0,0.0,0.0,132.37630000000004,10.1517,142.52800000000005,146.0326
3,0.2782,0.0129,0.2911,0.0524,0.9556853315012023,0.04431466849879766,14.9163,8.7017,207.9169,193.0006,0.0,0.0,0.0,207.91689999999997,8.7017,216.61859999999996,217.6142
4,0.4151,0.0,0.4151,0.0747,1.0,0.0,23.9547,0.0291,25.9537,1.999,0.0,0.0,0.0,25.953699999999994,0.029099999999999997,25.982799999999994,25.9831
5,0.4896,0.0013,0.491,0.0884,0.9971486761710794,0.0026476578411405295,28.2576,0.8847,87.2578,59.0002,0.0,0.0,0.0,87.25780000000002,0.8847,88.14250000000001,91.6393
6,0.3711,0.0357,0.4068,0.0732,0.9122418879056047,0.08775811209439528,20.6283,24.5553,436.6274,415.9991,0.0,0.0,0.0,436.62739999999997,24.5553,461.18269999999995,475.6873
7,0.6596,0.0001,0.6596,0.1187,1.0,0.00015160703456640388,35.1141,0.0403,35.1147,0.0006,0.0,0.0,0.0,35.11469999999999,0.040299999999999996,35.154999999999994,35.1538
8,0.2691,0.0002,0.2693,0.0485,0.9992573338284442,0.0007426661715558857,14.1288,0.1217,14.1289,0.0001,0.0,0.0,0.0,14.128900000000003,0.12170000000000002,14.250600000000004,14.2466
9,0.3712,0.0002,0.3714,0.0669,0.9994614970382336,0.0005385029617662897,19.9017,0.1555,19.9018,0.0001,0.0,0.0,0.0,19.901800000000005,0.15549999999999997,20.057300000000005,20.0569
10,0.3666,0.0027,0.3693,0.0665,0.992688870836718,0.007311129163281885,20.5317,1.6538,86.5323,66.0006,0.0,0.0,0.0,86.5323,1.6537999999999995,88.18610000000001,95.1838
11,0.5845,0.0107,0.5952,0.1071,0.9820228494623657,0.01797715053763441,31.7898,6.5668,197.79,166.0002,0.0,0.0,0.0,197.79000000000002,6.5668,204.35680000000002,217.356
12,0.4808,0.0016,0.4824,0.0868,0.9966832504145937,0.003316749585406302,26.7267,1.0261,69.7271,43.0004,0.0,0.0,0.0,69.72710000000001,1.0261,70.7532,70.7579
13,0.5928,0.0061,0.5989,0.1078,0.9898146602103857,0.010185339789614294,32.7096,3.9852,173.7084,140.9988,0.0,0.0,0.0,173.7084,3.9851999999999994,177.6936,184.6887
14,0.32,0.007,0.327,0.0589,0.9785932721712538,0.021406727828746176,17.661,4.3977,580.6612,563.0002,0.0,0.0,0.0,580.6612,4.3977,585.0589,595.5541
15,0.5581,0.003,0.5612,0.101,0.9944761225944405,0.0053456878118317884,30.7986,1.8863,220.7981,189.9995,0.0,0.0,0.0,220.79809999999998,1.8863,222.68439999999998,224.6872
16,0.4508,0.0002,0.4509,0.0812,0.9997782213351074,0.00044355732978487467,26.418,0.1047,26.4175,0.0,0.0,0.0,0.0,26.417499999999997,0.1047,26.522199999999998,26.5199
17,0.4057,0.0017,0.4074,0.0733,0.9958271968581247,0.004172803141875307,23.4108,1.1153,34.4104,10.9996,0.0,0.0,0.0,34.410399999999996,1.1152999999999997,35.52569999999999,36.0241
