job_id,energy_qpu_kwh,energy_cpu_kwh,energy_total_kwh,cost_energy_total,phi_qpu,phi_cpu,qpu_time_s,cpu_time_s,qpu_phase_s,qpu_idle_s,qpu_wait_s,cpu_wait_s,wait_total_s,qpu_turn_s,cpu_turn_s,turn_total_s,job_turnaround_s
0,0.055,0.0,0.0551,0.0099,0.9981851179673321,0.0,2.8305,0.0156,2.8305,0.0,0.0,0.0,0.0,2.8305,0.015600000000000001,2.8461,2.8493
1,0.0404,0.0021,0.0425,0.0076,0.9505882352941175,0.04941176470588235,2.1819,1.378,2.1819,0.0,0.0,0.0,0.0,2.1818999999999997,1.3780000000000001,3.5599,3.5627
2,0.0327,0.003,0.0358,0.0064,0.9134078212290503,0.08379888268156425,1.7682,1.7755,1.768,0.0,0.0,0.0,0.0,1.7680000000000002,1.7755,3.5435000000000003,3.5481
3,0.0375,0.0016,0.0391,0.007,0.9590792838874679,0.040920716112531966,2.1309,1.0707,2.1309,0.0,0.0,0.0,0.0,2.1309,1.0707,3.2016,3.1972
4,0.0634,0.0,0.0634,0.0114,1.0,0.0,3.4221,0.0036,3.4221,0.0,0.0,0.0,0.0,3.4221000000000004,0.0036,3.4257000000000004,3.426
5,0.0748,0.0002,0.0749,0.0135,0.9986648865153539,0.00267022696929239,4.0368,0.1045,4.0368,0.0,0.0,0.0,0.0,4.0367999999999995,0.10450000000000001,4.141299999999999,4.1381
6,0.0518,0.0032,0.0551,0.0099,0.94010889292196,0.05807622504537205,2.9469,2.32,2.9468,0.0,0.0,0.0,0.0,2.9467999999999996,2.3200000000000003,5.2668,5.2714
7,0.0975,0.0,0.0976,0.0176,0.9989754098360656,0.0,5.0163,0.0089,5.0163,0.0,0.0,0.0,0.0,5.016299999999999,0.0089,5.025199999999999,5.024
8,0.0336,0.0,0.0337,0.0061,0.9970326409495548,0.0,2.0184,0.0217,2.0184,0.0,0.0,0.0,0.0,2.0183999999999997,0.021699999999999997,2.0401,2.0361
9,0.0553,0.0,0.0553,0.01,1.0,0.0,2.8431,0.0284,2.8431,0.0,0.0,0.0,0.0,2.8430999999999997,0.028399999999999998,2.8714999999999997,2.8711
10,0.0516,0.0003,0.0519,0.0093,0.9942196531791907,0.005780346820809248,2.9331,0.1894,2.9332,0.0001,0.0,0.0,0.0,2.9332000000000003,0.1894,3.1226000000000003,3.1203
11,0.0841,0.0013,0.0854,0.0154,0.9847775175644027,0.015222482435597188,4.5414,0.8235,4.5415,0.0001,0.0,0.0,0.0,4.5415,0.8235,5.365,5.3642
12,0.0672,0.0002,0.0674,0.0121,0.9970326409495548,0.002967359050445104,3.8181,0.1749,4.8182,1.0001,0.0,0.0,0.0,4.818199999999999,0.1749,4.993099999999999,4.9978
13,0.0822,0.001,0.0832,0.015,0.9879807692307693,0.01201923076923077,4.6728,0.7356,4.6728,0.0,0.0,0.0,0.0,4.6728000000000005,0.7356,5.4084,5.4035
