job_id,energy_qpu_kwh,energy_cpu_kwh,energy_total_kwh,cost_energy_total,phi_qpu,phi_cpu,qpu_time_s,cpu_time_s,qpu_phase_s,qpu_idle_s,qpu_wait_s,cpu_wait_s,wait_total_s,qpu_turn_s,cpu_turn_s,turn_total_s,job_turnaround_s
0,0.304,0.0001,0.3041,0.0547,0.9996711608023677,0.00032883919763235784,16.983,0.0714,16.9828,0.0,0.0,0.0,0.0,16.9828,0.07139999999999999,17.0542,17.0574
1,0.2404,0.0127,0.2531,0.0456,0.9498222046621889,0.050177795337811144,13.0914,7.9728,70.0911,56.9997,0.0,0.0,0.0,70.0911,7.972799999999999,78.06389999999999,79.5667
2,0.1948,0.0147,0.2095,0.0377,0.9298329355608592,0.07016706443914081,10.6092,9.3369,60.6085,49.9993,0.0,0.0,0.0,60.60850000000001,9.3369,69.9454,70.45
3,0.2328,0.0101,0.243,0.0437,0.9580246913580247,0.04156378600823045,12.7854,6.6271,54.786,42.0006,0.0,0.0,0.0,54.785999999999994,6.6270999999999995,61.41309999999999,62.9087
4,0.3644,0.0,0.3644,0.0656,1.0,0.0,20.5326,0.0221,20.5318,0.0,0.0,0.0,0.0,20.531799999999997,0.022099999999999998,20.553899999999995,20.5542
5,0.4411,0.0012,0.4422,0.0796,0.9975124378109453,0.0027137042062415195,24.2208,0.7274,44.221,20.0002,0.0,0.0,0.0,44.221,0.7273999999999999,44.9484,44.9452
6,0.322,0.0309,0.3529,0.0635,0.9124397846415415,0.0875602153584585,17.6814,20.1411,182.6809,164.9995,0.0,0.0,0.0,182.68090000000004,20.1411,202.82200000000003,206.8266
7,0.5806,0.0,0.5806,0.1045,1.0,0.0,30.0978,0.0301,30.0986,0.0008,0.0,0.0,0.0,30.098599999999998,0.030100000000000005,30.1287,30.1275
8,0.228,0.0002,0.2282,0.0411,0.9991235758106924,0.000876424189307625,12.1104,0.0994,12.1105,0.0001,0.0,0.0,0.0,12.110500000000002,0.0994,12.209900000000001,12.2059
9,0.3054,0.0002,0.3056,0.055,0.99934554973822,0.0006544502617801048,17.0586,0.1504,17.0586,0.0,0.0,0.0,0.0,17.058600000000002,0.1504,17.209000000000003,17.2086
10,0.3205,0.0022,0.3226,0.0581,0.9934903905765654,0.006819590824550527,17.5986,1.3461,89.5991,72.0005,0.0,0.0,0.0,89.59909999999999,1.3461000000000003,90.9452,91.4429
11,0.4836,0.0099,0.4935,0.0888,0.9799392097264438,0.02006079027355623,27.2484,6.615,342.2486,315.0002,0.0,0.0,0.0,342.2486,6.615,348.8636,357.8628
12,0.4066,0.0016,0.4081,0.0735,0.9963244302866945,0.0039206076941926,22.9086,0.9405,47.9087,25.0001,0.0,0.0,0.0,47.9087,0.9405,48.8492,49.3539
13,0.5062,0.0048,0.5111,0.092,0.9904128350616317,0.009391508511054587,28.0368,3.0725,137.0359,108.9991,0.0,0.0,0.0,137.03590000000003,3.0725,140.10840000000002,144.6035
14,0.2733,0.0052,0.2786,0.0501,0.9809763101220387,0.018664752333094038,15.138,3.5278,150.138,135.0,0.0,0.0,0.0,150.13800000000003,3.5278,153.66580000000005,156.161
15,0.4726,0.0022,0.4748,0.0855,0.9953664700926707,0.0046335299073294025,26.3988,1.404,205.3984,178.9996,0.0,0.0,0.0,205.39839999999998,1.404,206.80239999999998,208.3052
16,0.4088,0.0001,0.409,0.0736,0.9995110024449878,0.0002444987775061125,22.644,0.0791,23.6436,0.9996,0.0,0.0,0.0,23.6436,0.0791,23.7227,23.7204
17,0.353,0.0014,0.3544,0.0638,0.9960496613995485,0.0039503386004514675,20.0664,0.9215,38.0658,17.9994,0.0,0.0,0.0,38.0658,0.9215000000000002,38.987300000000005,38.9857
18,0.3765,0.0018,0.3784,0.0681,0.9949788583509513,0.0047568710359408035,21.2166,1.1675,83.2167,62.0001,0.0,0.0,0.0,83.21669999999999,1.1675,84.38419999999999,84.3867
19,0.4599,0.0038,0.4637,0.0835,0.9918050463661849,0.008194953633814967,25.4736,2.4982,70.4742,45.0006,0.0,0.0,0.0,70.47420000000001,2.4982,72.97240000000001,72.97
20,0.3317,0.0006,0.3323,0.0598,0.9981944026482095,0.0018055973517905506,18.6912,0.3894,19.6907,0.9995,0.0,0.0,0.0,19.690699999999996,0.3894,20.080099999999995,22.5782
21,0.3516,0.0074,0.359,0.0646,0.9793871866295266,0.020612813370473538,19.8126,4.8883,248.8129,229.0003,0.0,0.0,0.0,248.8129,4.888299999999999,253.7012,257.2038
22,0.1758,0.0001,0.1759,0.0317,0.999431495167709,0.0005685048322910746,9.819,0.0548,9.8185,0.0,0.0,0.0,0.0,9.8185,0.0548,9.8733,9.8759
