iterations,blocked_attempts,frag_attempts,frag_fraction,frag_mean_needed,frag_mean_free,frag_mean_largest_connected
12,15155,10664,0.7036621577037282,18.061890472618156,26.14169167291823,12.41635408852213
15,307709,108886,0.353860303078558,17.659083812427678,22.605293609830465,10.769042852157302
21,2241804,311509,0.13895460976963195,17.168409259443546,20.97216131797155,10.407782760690703
