job_id,energy_qpu_kwh,energy_cpu_kwh,energy_total_kwh,cost_energy_total,phi_qpu,phi_cpu,qpu_time_s,cpu_time_s,qpu_wait_s,cpu_wait_s,wait_total_s,qpu_turn_s,cpu_turn_s,turn_total_s,job_turnaround_s
31,2.3968,0.0035,2.4003,0.4321,0.9985418489355496,0.0014581510644502771,128.7071,2.2704,0.0,0.0,0.0,128.70710000000003,2.2704,130.97750000000002,133.474
32,0.3793,0.0014,0.3807,0.0685,0.9963225636984503,0.003677436301549777,19.6365,0.8814,0.0,0.0,0.0,19.636499999999995,0.8814,20.517899999999994,21.0145
33,0.3263,0.0002,0.3265,0.0588,0.9993874425727411,0.0006125574272588055,17.7217,0.0977,0.0,0.0,0.0,17.7217,0.09769999999999998,17.819399999999998,17.8174
34,0.8607,0.002,0.8627,0.1553,0.9976816969977976,0.002318303002202388,49.707,1.2863,0.0,0.0,0.0,49.70700000000002,1.2863000000000002,50.99330000000002,51.9958
35,2.1307,0.0067,2.1374,0.3847,0.996865350425751,0.0031346495742490877,117.795,4.0511,0.0,0.0,0.0,117.79500000000003,4.051099999999999,121.84610000000004,123.8511
36,0.2936,0.0,0.2936,0.0528,1.0,0.0,16.5752,0.0184,0.0,0.0,0.0,16.575199999999995,0.018400000000000003,16.593599999999995,16.5947
37,0.2061,0.0001,0.2061,0.0371,1.0,0.00048520135856380397,11.1818,0.0439,0.0,0.0,0.0,11.181800000000004,0.043899999999999995,11.225700000000005,11.2239
38,0.9664,0.0021,0.9685,0.1743,0.9978316985028395,0.002168301497160557,51.7877,1.2808,0.0,0.0,0.0,51.78769999999999,1.2808,53.068499999999986,57.0712
39,0.2833,0.0,0.2833,0.051,1.0,0.0,14.9799,0.0105,0.0,0.0,0.0,14.979899999999995,0.0105,14.990399999999996,14.9949
40,0.6333,0.0009,0.6343,0.1142,0.9984234589311052,0.0014188869620053602,37.9986,0.5847,0.0,0.0,0.0,37.998599999999996,0.5846999999999999,38.583299999999994,38.5862
41,1.6713,0.0192,1.6906,0.3043,0.9885839346977404,0.011356914704838517,91.9913,11.7496,0.0,0.0,0.0,91.99130000000002,11.7496,103.74090000000002,116.7412
42,0.5082,0.0006,0.5089,0.0916,0.998624484181568,0.0011790135586559245,27.569,0.3751,0.0,0.0,0.0,27.569,0.37510000000000004,27.9441,28.9411
43,0.4133,0.0002,0.4135,0.0744,0.9995163240628779,0.00048367593712212825,23.5898,0.1376,0.0,0.0,0.0,23.589799999999993,0.13759999999999997,23.727399999999992,23.7252
44,0.2814,0.0001,0.2815,0.0507,0.9996447602131439,0.0003552397868561279,16.7772,0.0704,0.0,0.0,0.0,16.7772,0.0704,16.8476,16.8503
