job_id,energy_qpu_kwh,energy_cpu_kwh,energy_total_kwh,cost_energy_total,phi_qpu,phi_cpu,qpu_time_s,cpu_time_s,qpu_phase_s,qpu_idle_s,qpu_wait_s,cpu_wait_s,wait_total_s,qpu_turn_s,cpu_turn_s,turn_total_s,job_turnaround_s
0,0.1625,0.0001,0.1626,0.0293,0.9993849938499386,0.0006150061500615006,8.4915,0.0543,8.4914,0.0,0.0,0.0,0.0,8.4914,0.0543,8.5457,8.5489
1,0.1192,0.0061,0.1253,0.0226,0.951316839584996,0.04868316041500399,6.5457,3.779,6.5453,0.0,0.0,0.0,0.0,6.545299999999999,3.7790000000000004,10.3243,10.3271
2,0.0999,0.0086,0.1085,0.0195,0.9207373271889401,0.0792626728110599,5.3046,5.1839,5.3044,0.0,0.0,0.0,0.0,5.3044,5.1839,10.4883,10.4929
3,0.1105,0.0046,0.1151,0.0207,0.9600347523892269,0.03996524761077324,6.3927,3.1496,6.3929,0.0002,0.0,0.0,0.0,6.392900000000001,3.1496,9.5425,9.5381
4,0.1774,0.0,0.1775,0.0319,0.9994366197183099,0.0,10.2663,0.0104,10.266,0.0,0.0,0.0,0.0,10.266,0.0104,10.2764,10.2767
5,0.2168,0.0005,0.2173,0.0391,0.9976990335941095,0.0023009664058904742,12.1104,0.3161,14.1104,2.0,0.0,0.0,0.0,14.110399999999998,0.31610000000000005,14.426499999999999,14.4233
6,0.1583,0.0162,0.1745,0.0314,0.907163323782235,0.09283667621776505,8.8407,10.4128,23.8402,14.9995,0.0,0.0,0.0,23.840199999999996,10.412799999999999,34.25299999999999,34.7576
7,0.2694,0.0,0.2694,0.0485,1.0,0.0,15.0489,0.0162,15.0491,0.0002,0.0,0.0,0.0,15.0491,0.0162,15.065299999999999,15.0641
8,0.1121,0.0001,0.1122,0.0202,0.9991087344028522,0.0008912655971479501,6.0552,0.0642,6.0554,0.0002,0.0,0.0,0.0,6.0554,0.06420000000000001,6.119599999999999,6.1156
9,0.1658,0.0001,0.166,0.0299,0.9987951807228915,0.0006024096385542168,8.5293,0.0716,8.5295,0.0002,0.0,0.0,0.0,8.529499999999999,0.0716,8.601099999999999,8.6007
10,0.1494,0.0011,0.1505,0.0271,0.9926910299003323,0.007308970099667775,8.7993,0.7014,8.7994,0.0001,0.0,0.0,0.0,8.7994,0.7013999999999999,9.5008,9.4985
11,0.2481,0.0051,0.2532,0.0456,0.9798578199052133,0.020142180094786733,13.6242,3.2509,40.6243,27.0001,0.0,0.0,0.0,40.6243,3.2509,43.8752,43.8744
12,0.2086,0.0006,0.2092,0.0377,0.997131931166348,0.0028680688336520073,11.4543,0.4275,11.4546,0.0003,0.0,0.0,0.0,11.4546,0.42750000000000005,11.8821,11.8868
13,0.2466,0.0023,0.2489,0.0448,0.9907593411008437,0.009240658899156286,14.0184,1.5171,25.018,10.9996,0.0,0.0,0.0,25.018,1.5171000000000001,26.5351,27.0302
14,0.1425,0.0026,0.1451,0.0261,0.9820813232253617,0.017918676774638178,7.569,1.6364,16.5692,9.0002,0.0,0.0,0.0,16.569200000000002,1.6364,18.205600000000004,18.2008
15,0.2241,0.001,0.225,0.0405,0.996,0.0044444444444444444,13.1994,0.5906,15.199,1.9996,0.0,0.0,0.0,15.198999999999998,0.5906,15.789599999999998,15.7924
16,0.2201,0.0001,0.2202,0.0396,0.9995458673932788,0.00045413260672116256,11.322,0.0386,11.3217,0.0,0.0,0.0,0.0,11.3217,0.0386,11.3603,11.358
17,0.1734,0.0009,0.1743,0.0314,0.9948364888123924,0.005163511187607573,10.0332,0.5274,21.0329,10.9997,0.0,0.0,0.0,21.032899999999998,0.5274,21.560299999999998,21.5587
18,0.1866,0.0009,0.1875,0.0338,0.9952,0.0048,10.6083,0.5686,13.6083,3.0,0.0,0.0,0.0,13.6083,0.5686,14.1769,14.1794
19,0.2241,0.0024,0.2265,0.0408,0.9894039735099337,0.010596026490066223,12.7368,1.4871,31.737,19.0002,0.0,0.0,0.0,31.736999999999995,1.4871,33.22409999999999,33.2217
20,0.1788,0.0003,0.1792,0.0322,0.9977678571428571,0.0016741071428571428,9.3456,0.2004,12.3454,2.9998,0.0,0.0,0.0,12.3454,0.2004,12.5458,12.5439
21,0.1773,0.0046,0.182,0.0328,0.9741758241758243,0.025274725274725275,9.9063,2.8542,11.9064,2.0001,0.0,0.0,0.0,11.906399999999998,2.8542000000000005,14.760599999999998,15.2632
22,0.0909,0.0,0.091,0.0164,0.9989010989010989,0.0,4.9095,0.03,4.9091,0.0,0.0,0.0,0.0,4.9091,0.03,4.9391,4.9417
23,0.1682,0.0,0.1682,0.0303,1.0,0.0,9.9063,0.0099,9.9067,0.0004,0.0,0.0,0.0,9.9067,0.009899999999999999,9.9166,9.9152
24,0.1288,0.0,0.1289,0.0232,0.9992242048099302,0.0,7.0758,0.005,8.0761,1.0003,0.0,0.0,0.0,8.0761,0.004999999999999999,8.081100000000001,8.0801
25,0.1121,0.0,0.1122,0.0202,0.9991087344028522,0.0,6.0552,0.0223,6.0554,0.0002,0.0,0.0,0.0,6.055400000000001,0.0223,6.077700000000001,6.0803
26,0.1103,0.0002,0.1104,0.0199,0.9990942028985507,0.0018115942028985507,6.0552,0.1002,6.0552,0.0,0.0,0.0,0.0,6.055199999999999,0.1002,6.155399999999999,6.1526
27,0.1031,0.0041,0.1072,0.0193,0.9617537313432836,0.03824626865671642,5.661,2.3896,22.6607,16.9997,0.0,0.0,0.0,22.6607,2.3896,25.0503,25.0522
28,0.1553,0.0128,0.1681,0.0303,0.9238548483045805,0.0761451516954194,8.5293,8.0113,27.5294,19.0001,0.0,0.0,0.0,27.5294,8.011299999999999,35.5407,35.538
29,0.1332,0.0,0.1332,0.024,1.0,0.0,7.0758,0.0087,7.076,0.0002,0.0,0.0,0.0,7.076,0.0087,7.0847,7.083
30,0.0622,0.0063,0.0685,0.0123,0.9080291970802918,0.09197080291970802,3.5361,4.3419,26.5361,23.0,0.0,0.0,0.0,26.5361,4.3419,30.878,30.8819
31,0.2523,0.0028,0.2551,0.0459,0.9890239121912977,0.01097608780870247,13.6242,1.8276,28.6244,15.0002,0.0,0.0,0.0,28.624399999999998,1.8276000000000001,30.451999999999998,30.4485
32,0.1465,0.001,0.1474,0.0265,0.9938941655359566,0.0067842605156037995,8.1819,0.5977,17.1818,8.9999,0.0,0.0,0.0,17.1818,0.5977,17.7795,18.2761
