job_id,energy_qpu_kwh,energy_cpu_kwh,energy_total_kwh,cost_energy_total,phi_qpu,phi_cpu,qpu_time_s,cpu_time_s,qpu_phase_s,qpu_idle_s,qpu_wait_s,cpu_wait_s,wait_total_s,qpu_turn_s,cpu_turn_s,turn_total_s,job_turnaround_s
0,0.1101,0.0,0.1101,0.0198,1.0,0.0,5.661,0.0236,5.6608,0.0,0.0,0.0,0.0,5.6608,0.023600000000000003,5.6844,5.6876
1,0.0768,0.0043,0.0811,0.0146,0.9469790382244142,0.05302096177558569,4.3638,3.0022,4.3634,0.0,0.0,0.0,0.0,4.3633999999999995,3.0022,7.3656,7.3684
2,0.0622,0.0055,0.0677,0.0122,0.9187592319054653,0.08124076809453472,3.5364,3.3189,3.5362,0.0,0.0,0.0,0.0,3.5362,3.3188999999999997,6.8551,6.8597
3,0.073,0.003,0.076,0.0137,0.9605263157894737,0.03947368421052632,4.2618,1.9467,4.2619,0.0001,0.0,0.0,0.0,4.261900000000001,1.9467,6.208600000000001,6.2042
4,0.1204,0.0,0.1204,0.0217,1.0,0.0,6.8442,0.0096,6.844,0.0,0.0,0.0,0.0,6.844,0.0096,6.8536,6.8539
5,0.157,0.0004,0.1574,0.0283,0.9974587039390088,0.0025412960609911056,8.0736,0.2475,8.0736,0.0,0.0,0.0,0.0,8.073599999999999,0.2475,8.3211,8.3179
6,0.1064,0.0123,0.1187,0.0214,0.8963774220724515,0.10362257792754845,5.8938,7.6313,11.8935,5.9997,0.0,0.0,0.0,11.893500000000001,7.6313,19.524800000000003,19.5294
7,0.1904,0.0,0.1905,0.0343,0.999475065616798,0.0,10.0326,0.013,10.0329,0.0003,0.0,0.0,0.0,10.0329,0.013,10.0459,10.0447
8,0.0673,0.0,0.0673,0.0121,1.0,0.0,4.0368,0.0266,4.0368,0.0,0.0,0.0,0.0,4.0367999999999995,0.0266,4.0634,4.0594
9,0.0974,0.0001,0.0975,0.0175,0.9989743589743589,0.0010256410256410256,5.6862,0.0391,5.6862,0.0,0.0,0.0,0.0,5.6862,0.039099999999999996,5.725300000000001,5.7249
10,0.1113,0.0008,0.1121,0.0202,0.9928635147190008,0.007136485280999108,5.8662,0.4763,5.8663,0.0001,0.0,0.0,0.0,5.866300000000001,0.47630000000000006,6.342600000000001,6.3403
11,0.1724,0.0025,0.1749,0.0315,0.9857061177815895,0.014293882218410521,9.0828,1.6591,9.083,0.0002,0.0,0.0,0.0,9.083,1.6591,10.7421,10.7413
12,0.1308,0.0005,0.1313,0.0236,0.9961919268849961,0.003808073115003808,7.6362,0.3216,7.6363,0.0001,0.0,0.0,0.0,7.6363,0.3216,7.9579,7.9626
13,0.1558,0.0027,0.1584,0.0285,0.9835858585858585,0.017045454545454544,9.3456,1.6256,11.3453,1.9997,0.0,0.0,0.0,11.345300000000002,1.6256,12.970900000000002,12.966
14,0.0911,0.0015,0.0926,0.0167,0.9838012958963283,0.016198704103671708,5.046,0.9701,5.046,0.0,0.0,0.0,0.0,5.046,0.9701,6.0161,6.0113
15,0.167,0.0008,0.1678,0.0302,0.9952324195470799,0.004767580452920143,8.7996,0.4783,8.7995,0.0,0.0,0.0,0.0,8.799499999999998,0.47830000000000006,9.2778,9.2806
16,0.1293,0.0,0.1293,0.0233,1.0,0.0,7.548,0.0245,7.5477,0.0,0.0,0.0,0.0,7.547700000000001,0.0245,7.5722000000000005,7.5699
17,0.1177,0.0006,0.1183,0.0213,0.9949281487743026,0.005071851225697379,6.6888,0.3871,6.6887,0.0,0.0,0.0,0.0,6.6887,0.3871,7.0758,7.0742
18,0.131,0.0007,0.1317,0.0237,0.9946848899012908,0.005315110098709187,7.0722,0.4384,8.0722,1.0,0.0,0.0,0.0,8.0722,0.4384,8.5106,8.5131
19,0.1494,0.0015,0.1509,0.0272,0.9900596421471173,0.009940357852882704,8.4912,0.8744,11.4912,3.0,0.0,0.0,0.0,11.491200000000001,0.8744000000000001,12.3656,12.3632
20,0.1096,0.0002,0.1098,0.0198,0.9981785063752278,0.0018214936247723135,6.2304,0.1524,6.2302,0.0,0.0,0.0,0.0,6.2302,0.15239999999999998,6.3826,6.3807
21,0.1192,0.0029,0.1221,0.022,0.9762489762489762,0.02375102375102375,6.6042,1.8533,7.6043,1.0001,0.0,0.0,0.0,7.604299999999999,1.8533,9.4576,9.4602
22,0.0606,0.0,0.0607,0.0109,0.9983525535420099,0.0,3.273,0.0248,3.2729,0.0,0.0,0.0,0.0,3.2729,0.0248,3.2977,3.3003
23,0.1192,0.0,0.1193,0.0215,0.9991617770326907,0.0,6.6042,0.0069,6.6042,0.0,0.0,0.0,0.0,6.6042,0.0069,6.6110999999999995,6.6097
24,0.0874,0.0,0.0874,0.0157,1.0,0.0,4.7172,0.0039,4.7174,0.0002,0.0,0.0,0.0,4.7174,0.0039,4.721299999999999,4.7203
25,0.0729,0.0,0.0729,0.0131,1.0,0.0,4.0368,0.0189,4.037,0.0002,0.0,0.0,0.0,4.037,0.0189,4.0559,4.0585
26,0.0766,0.0001,0.0767,0.0138,0.998696219035202,0.001303780964797914,4.0368,0.068,4.0369,0.0001,0.0,0.0,0.0,4.036899999999999,0.068,4.104899999999999,4.1021
27,0.0681,0.0018,0.0699,0.0126,0.9742489270386264,0.025751072961373387,3.774,1.2424,3.7739,0.0,0.0,0.0,0.0,3.7739000000000003,1.2424,5.0163,5.0182
28,0.1079,0.0078,0.1157,0.0208,0.9325842696629213,0.06741573033707865,5.6862,5.4289,6.6862,1.0,0.0,0.0,0.0,6.6862,5.4289,12.1151,12.1124
